number,parashah,start_chapter,start_verse,end_chapter,end_verse,verses2,hebrew_title
1,1,1,1,1,5,5,"בריאת השמיים והארץ"
2,1,1,6,1,8,3,"בריאת הרקיע והבדלת המים"
3,1,1,9,1,13,5,"קיווי המים וגילוי היבשה"
4,1,1,14,1,19,6,"בריאת המאורות"
5,1,1,20,1,23,4,"בריאת הדגים והעופות"
6,1,1,24,1,25,2,"בריאת הבהמות והרמשים"
7,1,1,26,1,31,6,"בריאת האדם"
8,1,2,1,2,3,3,"סיום הבריאה וקידוש השבת"
9,1,2,4,2,7,4,"תאור יצירת האדם"
10,1,2,8,2,17,10,"האדם בגן עדן"
11,1,2,18,2,20,3,"חיפוש עזר לאדם"
12,1,2,21,2,25,5,"יצירת האישה"
13,1,3,1,3,8,8,"חטא עץ הדעת"
14,1,3,9,3,15,7,"החקירה וקללת הנחש"
15,1,3,16,3,21,6,"קללת האישה והאדם"
16,1,3,22,3,24,3,"גירוש האדם מגן עדן"
17,1,4,1,4,8,8,"קין והבל"
18,1,4,9,4,16,8,"גירוש קין"
19,1,4,17,4,24,8,"תולדות צאצאי קין"
20,1,4,25,4,26,2,"צאצאי אדם"
21,1,5,1,5,8,8,"תולדות אדם ושת"
22,1,5,9,5,14,2,"תולדות אנוש וקינן"
23,1,5,15,5,20,6,"תולדות מהללאל וירד"
24,1,5,21,5,27,7,"תולדות חנוך ומתוּשׁלח"
25,1,5,28,5,32,5,"תולדות למך ונח"
26,1,6,1,6,4,4,"בני האלוהים ובנות האדם"
27,1,6,5,6,8,4,"חטאי האדם"
1,2,6,9,6,12,2,"תולדות נח"
2,2,6,13,6,17,3,"ציווי בניית התיבה"
3,2,6,18,6,22,6,"באי התיבה"
4,2,7,1,7,5,5,"הציווי להכנס לתיבה"
5,2,7,6,7,12,7,"ארבעים ימי הגשם"
6,2,7,13,7,16,7,"הכניסה לתיבה"
7,2,7,17,7,24,12,"המבול"
8,2,8,1,8,5,5,"סיום המבול"
9,2,8,6,8,12,7,"שילוח העורב והיונה"
10,2,8,13,8,19,7,"היציאה מהתיבה"
11,2,8,20,8,22,3,"קורבנות נח"
12,2,9,1,9,7,7,"ברכת נח ואיסור דם"
13,2,9,8,9,17,10,"הברית ואות הקשת"
14,2,9,18,9,21,4,"שכרות נח"
15,2,9,22,9,23,2,"מעשה שם, חם ויפת"
16,2,9,24,9,29,6,"קללת כנען, וברכת שם ויפת"
17,2,10,1,10,5,5,"תולדות בני יפת"
18,2,10,6,10,20,15,"תולדות בני חם"
19,2,10,21,10,32,12,"תולדות בני שם"
20,2,11,1,11,9,9,"מעשה דור הפלגה"
21,2,11,10,11,26,17,"עשרה דורות מנח עד אברהם"
22,2,11,27,11,32,6,"תולדות תרח"
1,24,1,1,1,17,17,"קורבן עולה"
2,24,2,1,2,16,16,"קורבן מנחה"
3,24,3,1,3,17,17,"קורבן שלמים"
4,24,4,1,4,12,12,"חטאת הכוהן הגדול"
5,24,4,13,4,21,9,"חטאת העדה"
6,24,4,22,4,26,5,"חטאת הנשיא"
7,24,4,27,4,35,9,"חטאת היחיד"
8,24,5,1,5,13,13,"קורבן עולה ויורד"
9,24,5,14,5,26,13,"קורבן אשם"
1,25,6,1,6,6,6,"דיני קורבן עולה"
2,25,6,7,6,16,10,"דיני קורבן מנחה"
3,25,6,17,6,23,7,"דיני קורבן חטאת"
4,25,7,1,7,10,10,"קורבן אשם ומתנות כהונה"
5,25,7,11,7,21,11,"דיני שלמים ואזהרות"
6,25,7,22,7,27,6,"איסורי חלב ודם"
7,25,7,28,7,34,7,"תנופת הכוהנים"
8,25,7,35,7,38,4,"סיכום דיני הקורבנות"
9,25,8,1,8,13,13,"הכנת הכוהנים"
10,25,8,14,8,21,8,"קורבנות החטאת והעולה"
11,25,8,22,8,29,8,"איל המילואים"
12,25,8,30,8,36,7,"סיום טקס המילואים"
1,26,9,1,9,7,7,"קורבנות היום השמיני"
2,26,9,8,9,14,7,"חטאת ועולת אהרן"
3,26,9,15,9,21,7,"קורבנות העם ואש מן השמים"
4,26,9,22,9,24,3,"התגלות הכבוד ותגובת העם"
5,26,10,1,10,7,7,"חטא נדב ואביהוא"
6,26,10,8,10,11,4,"איסורים לכוהנים: יין והבדלה"
7,26,10,12,10,20,9,"דיני אכילת קדשים"
8,26,11,1,11,8,8,"סימני טהרה בבהמות וחיות"
9,26,11,9,11,12,4,"סימני טהרה בדגים"
10,26,11,13,11,23,11,"עופות ושרצים טמאים"
11,26,11,24,11,32,9,"טומאת נבלה"
12,26,11,33,11,38,6,"טומאת כלים"
13,26,11,39,11,47,9,"הבדלה בין טמא לטהור"
1,27,12,1,12,8,8,"טהרת היולדת"
2,27,13,1,13,8,8,"אבחון נגעי עור"
3,27,13,9,13,17,9,"סימני צרעת וטהרה"
4,27,13,18,13,23,6,"צרעת שחין"
5,27,13,24,13,28,5,"צרעת מכווה"
6,27,13,29,13,37,9,"דיני נתק"
7,27,13,38,13,44,7,"בהרת, קרחת וגבחת"
8,27,13,45,13,46,2,"דיני המצורע"
9,27,13,47,13,59,13,"צרעת הבגד"
1,28,14,1,14,7,7,"טהרת המצורע: ציפורים חיות"
2,28,14,8,14,9,2,"גילוח ורחיצה"
3,28,14,10,14,20,11,"קורבנות המצורע ביום השמיני"
4,28,14,21,14,32,12,"קורבן עני ודל"
5,28,14,33,14,48,16,"צרעת הבית: אבחון והסגר"
6,28,14,49,14,53,5,"טהרת הבית המנוגע"
7,28,14,54,14,57,4,"סיכום דיני נגעים"
8,28,15,1,15,15,15,"דיני הזב"
9,28,15,16,15,18,3,"טומאת שכבת זרע"
10,28,15,19,15,24,6,"טומאת נידה"
11,28,15,25,15,30,6,"דיני הזבה"
12,28,15,31,15,33,3,"סיכום דיני טומאה וטהרה"
